cueValid_silence,cueValid_white,cueValid_lofi,cueInvalid_silence,cueInvalid_white,cueInvalid_lofi
8.62089335,6.986314050000001,10.171967500000001,5.0186797,5.848633450000001,7.493307099999999
1.4515598,0.9013730000000001,2.4776629,-3.1680477500000004,-0.646055,-2.0135029499999995
3.1916908,3.8498554500000006,4.3065758,2.1198246000000003,1.20045205,4.6861586
4.809145900000001,5.94131265,5.7826508,5.1763967,0.811535845,5.29556565
-0.8280099299999998,-0.24140040999999998,-0.9920922499999999,2.11254947,-3.2706115000000002,-2.87420105
8.4939342,8.539912900000001,8.852363400000002,6.8408223,9.890863,8.759773
8.13931085,5.429530250000001,5.9963452,7.821090899999999,7.7627404,6.91499345
8.3848946,9.8469558,10.4307142,9.524102899999999,11.8215495,8.72263825
5.52336405,6.5762643,6.957607699999999,3.82267475,5.41783955,3.8152586
7.91868745,5.577230200000001,8.26663315,4.16290535,8.180435800000001,5.57177265
4.450087099999999,6.7729018,4.2765687,5.0715938949999995,3.0794979,8.55119805
