condition,cueValid,rt
lofi,False,0.28685850000056234
lofi,True,0.2669172999994771
lofi,True,0.23214660000030565
lofi,False,0.25495590000082297
lofi,True,0.3240970999995625
lofi,True,0.3506164999998873
lofi,True,0.24817329999950746
lofi,True,0.29427510000004986
lofi,True,0.3060528999994858
lofi,True,0.23707310000008874
lofi,True,0.31534390000069834
lofi,True,0.3022018000001481
lofi,True,0.2579547999994247
lofi,True,0.33526419999998325
lofi,False,0.28201369999987946
lofi,False,0.1984019999999873
lofi,True,0.286212500000147
lofi,False,0.3381292999993093
lofi,True,0.2358726000002207
lofi,True,0.2736661000008098
lofi,True,0.30241530000057537
lofi,True,0.25086019999980635
lofi,False,0.22440800000003944
lofi,True,0.3108809999994264
lofi,False,0.32202480000069045
lofi,False,0.2764482000002317
lofi,True,0.30526520000057644
lofi,True,0.32416899999952875
lofi,True,0.0870096000007834
lofi,True,0.2669375999994372
lofi,True,0.30434669999976904
lofi,False,0.2995987000003879
lofi,True,0.2315559000007852
lofi,True,0.3903634999996939
lofi,True,0.2539765000001353
lofi,True,0.3072432000008121
lofi,False,0.29415369999969704
lofi,True,0.2659222000002046
lofi,True,0.2714280999998664
lofi,True,0.3718995999997787
lofi,True,0.31315119999999297
lofi,False,0.22866129999965776
lofi,True,0.2273193000000901
lofi,True,0.27371559999937745
lofi,True,0.31036760000006325
lofi,True,0.26547540000046865
lofi,True,0.1427651000003607
lofi,True,0.36857789999976376
lofi,False,0.253853799999888
lofi,True,0.3628984999995737
lofi,False,0.2845126000001983
lofi,True,0.24900290000005046
lofi,True,0.3586542000002737
lofi,True,0.2872959999995146
lofi,True,0.3156970999998521
lofi,True,0.3745681999998851
lofi,False,0.3350869999994757
lofi,False,0.21724509999967268
lofi,True,0.6561503999992055
lofi,True,0.36519119999957184
lofi,True,0.30220789999930275
lofi,True,0.24932480000006765
lofi,False,0.3433798999994906
lofi,True,0.28889559999970515
lofi,False,0.2606860999994751
lofi,True,0.2101437999999689
lofi,True,0.2337093999994977
lofi,False,0.2794489999996585
lofi,True,0.2760827000001882
lofi,True,0.2405396000003748
lofi,False,0.262224399999468
lofi,True,0.3637414000004355
lofi,True,0.3247332999999344
lofi,True,0.3821319999997286
lofi,True,0.3264239999998608
lofi,True,0.2731005000005098
lofi,True,0.27740350000021863
lofi,False,0.306263399999807
lofi,False,0.2773738999994748
lofi,True,0.3225367000004553
lofi,True,0.2685329000005368
