cueInvalid_lofi,cueInvalid_silence,cueInvalid_white,cueValid_lofi,cueValid_silence,cueValid_white
0.4006040046875654,0.3938784629032207,0.37456341612892907,0.32602356373052205,0.31259421479592914,0.32392130463915575
0.32911506307688726,0.33135202499998684,0.3161631015384256,0.29923680461537844,0.3076925200000355,0.2937095522842572
0.446353104761899,0.4064177312499311,0.43787177142864914,0.4080252952879507,0.39303102864580336,0.39392923538462826
0.3565661519231141,0.3421921282609654,0.3820346545451023,0.29289282918920484,0.25948361647731005,0.24257648359370876
0.4490374828125354,0.45031800499998553,0.4627213612903219,0.40414122228259963,0.43001066249998443,0.4361942297752669
0.3529732153846803,0.32430928593741726,0.3327363846154325,0.3216436744898383,0.2944878243654595,0.3033287943299095
0.30592611269836084,0.3225230476190272,0.31693775873009145,0.30972848994711466,0.3197078240837787,0.3037213265624956
0.29127196428563756,0.29235098039209656,0.29526808103446456,0.2609961664835022,0.2721793427777609,0.27102460491801017
0.3268753523809556,0.34244810625001776,0.35520327627115983,0.3273168057894748,0.3271549030927155,0.3256794252688353
0.4181101523077184,0.37966716769231146,0.3969678338461633,0.3611541161616322,0.3078723184615928,0.34521050000002135
0.4137681161290006,0.41679566271189333,0.4269575984374896,0.3958040170103222,0.3774985364583448,0.3830175481481554
